@tick,cpu#15,cpu#14,cpu#13,cpu#12,cpu#11,cpu#10,cpu#2,cpu#1,cpu#0,cpu#9,cpu#8,cpu#7,cpu#6,cpu#5,cpu#4,cpu#3
47,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
48,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
49,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
50,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
51,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
52,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
53,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
54,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
55,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
56,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
57,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
58,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
59,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
60,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
61,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
62,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
63,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
64,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
65,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
66,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
67,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
68,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
69,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
70,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
71,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
72,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
73,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
74,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
75,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
76,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
77,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
78,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
79,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
80,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
81,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
82,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
83,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
84,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
85,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
86,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
87,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
88,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
89,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
90,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
91,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
92,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
93,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
94,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
95,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
96,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
97,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
98,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
99,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
100,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
101,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
102,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
103,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
104,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
105,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
106,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
107,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
108,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
109,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
110,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
111,12.03883495145631,54.5631067961165,24.07766990291262,42.44186046511628,27.325581395348834,18.058252427184467,69.76744186046511,21.16504854368932,39.458413926499034,18.217054263565892,48.54368932038835,27.325581395348834,30.426356589147286,24.224806201550386,39.53488372093023,15.145631067961165
112,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
113,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
114,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
115,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
116,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
117,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
118,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
119,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
120,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
121,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
122,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
123,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
124,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
125,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
126,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
127,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
128,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
129,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
130,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
131,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
132,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
133,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
134,18.962075848303392,37.5249500998004,9.4,72.0,21.956087824351297,21.8436873747495,71.8,12.574850299401197,37.6,28.199999999999996,28.143712574850298,9.218436873747494,43.687374749499,12.6,59.199999999999996,9.56175298804781
